taxonomy,Species,Bacteria,totalspore,distance_from_discoideum
Dictyostelium_purpureum,purpureum,B70,357115680,0.18514417
Dictyostelium_purpureum,purpureum,B70,474848640,0.18514417
Dictyostelium_purpureum,purpureum,B70,699758640,0.18514417
Dictyostelium_purpureum,purpureum,B859,119347200,0.18514417
Dictyostelium_purpureum,purpureum,B859,315300700,0.18514417
Dictyostelium_purpureum,purpureum,B859,531917540,0.18514417
Dictyostelium_purpureum,purpureum,B859,616772640,0.18514417
Dictyostelium_purpureum,purpureum,KP,268936200,0.18514417
Dictyostelium_purpureum,purpureum,KP,620926200,0.18514417
Dictyostelium_purpureum,purpureum,KP,718503420,0.18514417
Dictyostelium_purpureum,purpureum,KP,834141520,0.18514417
Polysphondylium_violaceum,violaceum,B11,20180160,0.32465167
Polysphondylium_violaceum,violaceum,B11,176427720,0.32465167
Polysphondylium_violaceum,violaceum,B11,189889600,0.32465167
Polysphondylium_violaceum,violaceum,B11,201252040,0.32465167
Polysphondylium_violaceum,violaceum,B11,23465640,0.32465167
Polysphondylium_violaceum,violaceum,B70,25284800,0.32465167
Polysphondylium_violaceum,violaceum,B70,160203280,0.32465167
Polysphondylium_violaceum,violaceum,B70,306655860,0.32465167
Polysphondylium_violaceum,violaceum,B70,561679300,0.32465167
Polysphondylium_violaceum,violaceum,B70,333511440,0.32465167
Polysphondylium_violaceum,violaceum,B859,115199280,0.32465167
Polysphondylium_violaceum,violaceum,B859,170232900,0.32465167
Polysphondylium_violaceum,violaceum,B859,302694360,0.32465167
Polysphondylium_violaceum,violaceum,B859,359332080,0.32465167
Polysphondylium_violaceum,violaceum,B859,880244640,0.32465167
Polysphondylium_violaceum,violaceum,KP,84093900,0.32465167
Polysphondylium_violaceum,violaceum,KP,266602700,0.32465167
Polysphondylium_violaceum,violaceum,KP,400084800,0.32465167
Polysphondylium_violaceum,violaceum,KP,623903400,0.32465167
Polysphondylium_violaceum,violaceum,KP,677647520,0.32465167
Polysphondylium_violaceum,violaceum,B11,106402640,0.32465167
Polysphondylium_violaceum,violaceum,B11,162569920,0.32465167
Polysphondylium_violaceum,violaceum,B11,276843300,0.32465167
Polysphondylium_violaceum,violaceum,B70,96192360,0.32465167
Polysphondylium_violaceum,violaceum,B70,132697320,0.32465167
Polysphondylium_violaceum,violaceum,B70,194704500,0.32465167
Polysphondylium_violaceum,violaceum,B859,42181440,0.32465167
Polysphondylium_violaceum,violaceum,B859,126337440,0.32465167
Polysphondylium_violaceum,violaceum,B859,127458800,0.32465167
Polysphondylium_violaceum,violaceum,KP,126002040,0.32465167
Polysphondylium_violaceum,violaceum,KP,192021960,0.32465167
Polysphondylium_violaceum,violaceum,KP,309970140,0.32465167
Polysphondylium_violaceum,violaceum,B11,45432000,0.32465167
Polysphondylium_violaceum,violaceum,B11,127851040,0.32465167
Polysphondylium_violaceum,violaceum,B11,141526320,0.32465167
Polysphondylium_violaceum,violaceum,B70,109893740,0.32465167
Polysphondylium_violaceum,violaceum,B70,133344600,0.32465167
Polysphondylium_violaceum,violaceum,B70,250498800,0.32465167
Polysphondylium_violaceum,violaceum,B859,77825600,0.32465167
Polysphondylium_violaceum,violaceum,B859,101420880,0.32465167
Polysphondylium_violaceum,violaceum,B859,159751800,0.32465167
Polysphondylium_violaceum,violaceum,KP,256380800,0.32465167
Polysphondylium_violaceum,violaceum,KP,262386240,0.32465167
Polysphondylium_violaceum,violaceum,KP,292645760,0.32465167
