taxonomy,species,infect,rfpper,distance_from_discoideum
Dictyostelium_citrinum,citrinum,B859,70,0.0294996
Dictyostelium_citrinum,citrinum,B859,77.9,0.0294996
Dictyostelium_citrinum,citrinum,KP,0.3,0.0294996
Dictyostelium_citrinum,citrinum,KP,0.6,0.0294996
Dictyostelium_citrinum,citrinum,KP,1.7,0.0294996
Dictyostelium_citrinum,citrinum,KP,1.9,0.0294996
Dictyostelium_citrinum,citrinum,KP,1,0.0294996
Dictyostelium_citrinum,citrinum,KP,0.2,0.0294996
Dictyostelium_citrinum,citrinum,B11,15.9,0.0294996
Dictyostelium_citrinum,citrinum,B11,11.1,0.0294996
Dictyostelium_citrinum,citrinum,B11,66.4,0.0294996
Dictyostelium_citrinum,citrinum,B11,64.9,0.0294996
Dictyostelium_citrinum,citrinum,B70,5.5,0.0294996
Dictyostelium_citrinum,citrinum,B70,16.5,0.0294996
Dictyostelium_citrinum,citrinum,B70,9.1,0.0294996
Dictyostelium_citrinum,citrinum,B70,2.4,0.0294996
Dictyostelium_citrinum,citrinum,B70,7.5,0.0294996
Dictyostelium_citrinum,citrinum,B859,52.7,0.0294996
Dictyostelium_citrinum,citrinum,B859,68.9,0.0294996
Dictyostelium_citrinum,citrinum,B859,76.2,0.0294996
Dictyostelium_citrinum,citrinum,B859,54,0.0294996
Dictyostelium_citrinum,citrinum,B859,56.9,0.0294996
Dictyostelium_citrinum,citrinum,KP,0.5,0.0294996
Dictyostelium_citrinum,citrinum,KP,1,0.0294996
Dictyostelium_citrinum,citrinum,KP,1.4,0.0294996
Dictyostelium_citrinum,citrinum,KP,0.1,0.0294996
Dictyostelium_citrinum,citrinum,KP,2,0.0294996
Dictyostelium_discoideum,discoideum,B11,87.3,0
Dictyostelium_discoideum,discoideum,B11,89.3,0
Dictyostelium_discoideum,discoideum,B11,93.4,0
Dictyostelium_discoideum,discoideum,B11,93.6,0
Dictyostelium_discoideum,discoideum,B11,99,0
Dictyostelium_discoideum,discoideum,B70,20.8,0
Dictyostelium_discoideum,discoideum,B70,32.4,0
Dictyostelium_discoideum,discoideum,B70,37.3,0
Dictyostelium_discoideum,discoideum,B70,38.7,0
Dictyostelium_discoideum,discoideum,B70,39.4,0
Dictyostelium_discoideum,discoideum,B859,95,0
Dictyostelium_discoideum,discoideum,B859,97,0
Dictyostelium_discoideum,discoideum,B859,99,0
Dictyostelium_discoideum,discoideum,KP,0,0
Dictyostelium_discoideum,discoideum,KP,0,0
Dictyostelium_discoideum,discoideum,KP,0.1,0
Dictyostelium_discoideum,discoideum,KP,0.1,0
Dictyostelium_discoideum,discoideum,KP,0.4,0
Dictyostelium_discoideum,discoideum,KP,0.9,0
Dictyostelium_discoideum,discoideum,B11,90,0
Dictyostelium_discoideum,discoideum,B11,91.3,0
Dictyostelium_discoideum,discoideum,B11,83.6,0
Dictyostelium_discoideum,discoideum,B11,95.8,0
Dictyostelium_discoideum,discoideum,B11,98,0
Dictyostelium_discoideum,discoideum,B70,63.5,0
Dictyostelium_discoideum,discoideum,B70,3.6,0
Dictyostelium_discoideum,discoideum,B70,45.1,0
Dictyostelium_discoideum,discoideum,B70,7.5,0
Dictyostelium_discoideum,discoideum,B70,35,0
Dictyostelium_discoideum,discoideum,B859,20.6,0
Dictyostelium_discoideum,discoideum,B859,78,0
Dictyostelium_discoideum,discoideum,B859,88.8,0
Dictyostelium_discoideum,discoideum,B859,95.5,0
Dictyostelium_discoideum,discoideum,KP,2.6,0
Dictyostelium_discoideum,discoideum,KP,0.4,0
Dictyostelium_discoideum,discoideum,KP,54.4,0
Dictyostelium_discoideum,discoideum,KP,3,0
Dictyostelium_discoideum,discoideum,KP,3.5,0
Dictyostelium_giganteum,giganteum,B11,4.4,0.04915635
Dictyostelium_giganteum,giganteum,B11,5,0.04915635
Dictyostelium_giganteum,giganteum,B11,28,0.04915635
Dictyostelium_giganteum,giganteum,B70,1.4,0.04915635
Dictyostelium_giganteum,giganteum,B70,4.6,0.04915635
Dictyostelium_giganteum,giganteum,B70,4.8,0.04915635
Dictyostelium_giganteum,giganteum,B859,16.5,0.04915635
Dictyostelium_giganteum,giganteum,B859,34,0.04915635
Dictyostelium_giganteum,giganteum,B859,60,0.04915635
Dictyostelium_giganteum,giganteum,KP,0.2,0.04915635
Dictyostelium_giganteum,giganteum,KP,0.8,0.04915635
Dictyostelium_giganteum,giganteum,KP,2.9,0.04915635
Dictyostelium_giganteum,giganteum,B11,5.6,0.04915635
Dictyostelium_giganteum,giganteum,B11,11.9,0.04915635
Dictyostelium_giganteum,giganteum,B11,17.3,0.04915635
Dictyostelium_giganteum,giganteum,B11,21.7,0.04915635
Dictyostelium_giganteum,giganteum,B70,1,0.04915635
Dictyostelium_giganteum,giganteum,B70,9,0.04915635
Dictyostelium_giganteum,giganteum,B70,17.2,0.04915635
Dictyostelium_giganteum,giganteum,B70,9.8,0.04915635
Dictyostelium_giganteum,giganteum,B859,13.5,0.04915635
Dictyostelium_giganteum,giganteum,B859,26.8,0.04915635
Dictyostelium_giganteum,giganteum,B859,65.2,0.04915635
Dictyostelium_giganteum,giganteum,B859,7.1,0.04915635
Dictyostelium_giganteum,giganteum,KP,0,0.04915635
Dictyostelium_giganteum,giganteum,KP,0.1,0.04915635
Dictyostelium_giganteum,giganteum,KP,4.7,0.04915635
Dictyostelium_giganteum,giganteum,KP,1.6,0.04915635
NA,pallidum,B11,1.3,NA
NA,pallidum,B11,5.1,NA
NA,pallidum,B11,2.7,NA
NA,pallidum,B11,61.7,NA
NA,pallidum,B70,3.3,NA
NA,pallidum,B70,5.8,NA
NA,pallidum,B70,19,NA
NA,pallidum,B70,32.9,NA
NA,pallidum,B859,15.8,NA
NA,pallidum,B859,11,NA
NA,pallidum,B859,74.6,NA
NA,pallidum,B859,29.3,NA
NA,pallidum,KP,1,NA
NA,pallidum,KP,7.1,NA
NA,pallidum,KP,7.7,NA
NA,pallidum,KP,16.5,NA
NA,pallidum,KP,5.9,NA
Dictyostelium_purpureum,purpureum,B11,2.3,0.18514417
