date,taxonomy,species,clone,rep,infect,rfpper,total_spore,spore_norm_kp,confident,distance_from_discoideum
6.4.19,Dictyostelium_discoideum,discoideum,qs18,2,KP,0,501212220,1,1,0
10.10.18,Dictyostelium_discoideum,discoideum,qs18,3,KP,0.1,487599200,1,1,0
12.5.18,Dictyostelium_discoideum,discoideum,qs18,4,KP,0.1,524224680,1,0.5,0
12.5.18,Dictyostelium_discoideum,discoideum,qs18,5,KP,0.4,529675200,1,0.5,0
2/3/21,Dictyostelium_discoideum,discoideum,qs864,1,B11,90,83096160,0.38713645,1,0
11.16.18,Dictyostelium_discoideum,discoideum,qs864,2,B11,91.3,72882100,0.123236141,1,0
2/17/21,Dictyostelium_discoideum,discoideum,qs864,3,B11,83.6,148716800,0.692856252,1,0
2.21.18,Dictyostelium_discoideum,discoideum,qs864,4,B11,95.8,92102600,0.193010323,1,0
1.18.18,Dictyostelium_discoideum,discoideum,qs864,5,B11,98,31030560,0.1284811,1,0
1.18.18,Dictyostelium_discoideum,discoideum,qs864,2,B70,3.6,226216500,0.936642612,1,0
2/17/21,Dictyostelium_discoideum,discoideum,qs864,3,B70,45.1,91266480,0.425201129,1,0
2.21.18,Dictyostelium_discoideum,discoideum,qs864,4,B70,7.5,185323120,0.388363361,1,0
11.16.18,Dictyostelium_discoideum,discoideum,qs864,5,B70,35,341488800,0.577422464,1,0
2/3/21,Dictyostelium_discoideum,discoideum,qs864,1,B859,20.6,66759840,0.311027218,1,0
1.18.18,Dictyostelium_discoideum,discoideum,qs864,2,B859,78,56388480,0.233474805,1,0
2.21.18,Dictyostelium_discoideum,discoideum,qs864,3,B859,88.8,292412400,0.612779789,1,0
11.16.18,Dictyostelium_discoideum,discoideum,qs864,4,B859,95.5,347170020,0.587028823,1,0
11.16.18,Dictyostelium_discoideum,discoideum,qs864,2,KP,0.4,591402000,1,,0
2/17/21,Dictyostelium_discoideum,discoideum,qs864,3,KP,54.4,214643080,1,1,0
2.21.18,Dictyostelium_discoideum,discoideum,qs864,4,KP,3,477190020,1,1,0
1.18.18,Dictyostelium_discoideum,discoideum,qs864,5,KP,3.5,241518480,1,1,0
3.30.18,Dictyostelium_giganteum,giganteum,tab10B1,1,B11,4.4,449576400,0.851478066,0,0.04915635
2.21.18,Dictyostelium_giganteum,giganteum,tab10B1,2,B11,5,550703040,1.388314345,1,0.04915635
11.14.18,Dictyostelium_giganteum,giganteum,tab10B1,3,B11,28,223722240,0.422117434,1,0.04915635
3.30.18,Dictyostelium_giganteum,giganteum,tab10B1,1,B70,1.4,527995280,0.897464358,0,0.04915635
2.21.18,Dictyostelium_giganteum,giganteum,tab10B1,2,B70,4.6,285412480,0.538514113,1,0.04915635
11.14.18,Dictyostelium_giganteum,giganteum,tab10B1,3,B70,4.8,444209680,0.855901274,1,0.04915635
2.21.18,Dictyostelium_giganteum,giganteum,tab10B1,1,B859,16.5,518996400,1.151585211,1,0.04915635
11.14.18,Dictyostelium_giganteum,giganteum,tab10B1,2,B859,34,259316640,0.489276679,1,0.04915635
3.30.18,Dictyostelium_giganteum,giganteum,tab10B1,3,B859,60,512094400,0.870436706,0,0.04915635
11.14.18,Dictyostelium_giganteum,giganteum,tab10B1,1,KP,0.2,530000000,1,1,0.04915635
3.30.18,Dictyostelium_giganteum,giganteum,tab10B1,2,KP,0.8,588318940,1,0,0.04915635
2.21.18,Dictyostelium_giganteum,giganteum,tab10B1,3,KP,2.9,450679980,1,1,0.04915635
10.30.18,Dictyostelium_giganteum,giganteum,tab113c,1,B11,5.6,611336000,1.808855717,1,0.04915635
12.5.18,Dictyostelium_giganteum,giganteum,tab113c,2,B11,11.9,387442320,0.553759216,1,0.04915635
1.25.18,Dictyostelium_giganteum,giganteum,tab113c,3,B11,17.3,396670280,0.942659078,1,0.04915635
4/29/21,Dictyostelium_giganteum,giganteum,tab113c,4,B11,21.7,396670280,0.942659078,0,0.04915635
10.30.18,Dictyostelium_giganteum,giganteum,tab113c,1,B70,1,548826300,1.623898462,1,0.04915635
12.5.18,Dictyostelium_giganteum,giganteum,tab113c,2,B70,9,370179780,0.529086406,1,0.04915635
1.25.18,Dictyostelium_giganteum,giganteum,tab113c,3,B70,17.2,307747640,0.731340665,1,0.04915635
4/29/21,Dictyostelium_giganteum,giganteum,tab113c,4,B70,9.8,373532400,1.246421895,0,0.04915635
1.25.18,Dictyostelium_giganteum,giganteum,tab113c,1,B859,13.5,135714320,0.322515556,1,0.04915635
10.30.18,Dictyostelium_giganteum,giganteum,tab113c,2,B859,26.8,626067200,1.140738336,1,0.04915635
12.5.18,Dictyostelium_giganteum,giganteum,tab113c,3,B859,65.2,480732420,0.687095844,1,0.04915635
4/29/21,Dictyostelium_giganteum,giganteum,tab113c,4,B859,7.1,231860880,0.773685167,0,0.04915635
10.30.18,Dictyostelium_giganteum,giganteum,tab113c,1,KP,0,337968360,1,1,0.04915635
12.5.18,Dictyostelium_giganteum,giganteum,tab113c,2,KP,0.1,699658460,1,1,0.04915635
1.25.18,Dictyostelium_giganteum,giganteum,tab113c,3,KP,4.7,420799300,1,1,0.04915635
4/29/21,Dictyostelium_giganteum,giganteum,tab113c,4,KP,1.6,299683760,1,0,0.04915635
3.30.18,Dictyostelium_purpureum,purpureum,33B,1,B11,2.3,359021160,1.018502172,0,0.18514417
11.14.18,Dictyostelium_purpureum,purpureum,33B,2,B11,14.6,224016240,0.396791381,1,0.18514417
12.5.18,Dictyostelium_purpureum,purpureum,33B,3,B11,17.7,492054800,0.725496462,1,0.18514417
3.30.18,Dictyostelium_purpureum,purpureum,33B,1,B70,0.2,370969600,1.052398536,0,0.18514417
12.5.18,Dictyostelium_purpureum,purpureum,33B,2,B70,2.1,472029120,0.695970157,1,0.18514417
11.14.18,Dictyostelium_purpureum,purpureum,33B,3,B70,4.7,174724300,0.309482456,1,0.18514417
3.30.18,Dictyostelium_purpureum,purpureum,33B,1,B859,4,342100320,0.970499674,0,0.18514417
11.14.18,Dictyostelium_purpureum,purpureum,33B,2,B859,39.6,237000180,0.419789336,1,0.18514417
12.5.18,Dictyostelium_purpureum,purpureum,33B,3,B859,55.5,594700080,0.876838929,1,0.18514417
11.14.18,Dictyostelium_purpureum,purpureum,33B,1,KP,0,564569320,1,1,0.18514417
12.5.18,Dictyostelium_purpureum,purpureum,33B,2,KP,0.06,678231840,1,1,0.18514417
3.30.18,Dictyostelium_purpureum,purpureum,33B,3,KP,0.3,352499160,1,0,0.18514417
1.25.18,Dictyostelium_purpureum,purpureum,H10,1,B11,3.7,92956680,0.345645845,1,0.18514417
11.2.18,Dictyostelium_purpureum,purpureum,H10,2,B11,25.6,465844500,0.750241333,1,0.18514417
11.16.18,Dictyostelium_purpureum,purpureum,H10,3,B11,28.3,296947500,0.413286133,1,0.18514417
4/29/21,Dictyostelium_purpureum,purpureum,H10,4,B11,18.5,392625200,0.47069375,1,0.18514417
11.2.18,Dictyostelium_purpureum,purpureum,H10,1,B70,1.9,357115680,0.575133856,1,0.18514417
11.16.18,Dictyostelium_purpureum,purpureum,H10,2,B70,2.4,474848640,0.660885706,1,0.18514417
1.25.18,Dictyostelium_purpureum,purpureum,H10,3,B70,4.8,105844800,0.393568437,1,0.18514417
4/29/21,Dictyostelium_purpureum,purpureum,H10,4,B70,2.7,699758640,0.838896786,1,0.18514417
1.25.18,Dictyostelium_purpureum,purpureum,H10,1,B859,16.1,119347200,0.443775141,1,0.18514417
11.2.18,Dictyostelium_purpureum,purpureum,H10,2,B859,46,531917540,0.856651789,1,0.18514417
11.16.18,Dictyostelium_purpureum,purpureum,H10,3,B859,56.5,315300700,0.438829783,1,0.18514417
4/29/21,Dictyostelium_purpureum,purpureum,H10,4,B859,23.9,616772640,0.73941007,1,0.18514417
11.2.18,Dictyostelium_purpureum,purpureum,H10,1,KP,0,620926200,1,1,0.18514417
11.16.18,Dictyostelium_purpureum,purpureum,H10,2,KP,0.4,718503420,1,1,0.18514417
1.25.18,Dictyostelium_purpureum,purpureum,H10,3,KP,2.4,268936200,1,1,0.18514417
4/29/21,Dictyostelium_purpureum,purpureum,H10,4,KP,0.2,834141520,1,1,0.18514417
3.30.18,Polysphondylium_violaceum,violaceum,H20,1,B11,17.2,176427720,0.440975813,0,0.32465167
2.21.18,Polysphondylium_violaceum,violaceum,H20,2,B11,35.8,20180160,0.075693757,1,0.32465167
11.16.18,Polysphondylium_violaceum,violaceum,H20,3,B11,57.7,201252040,0.322569231,1,0.32465167
4/29/21,Polysphondylium_violaceum,violaceum,H20,4,B11,64.8,23465640,0.034628091,1,0.32465167
3.30.18,Polysphondylium_violaceum,violaceum,H20,1,B70,14.9,25284800,0.063198602,0,0.32465167
11.16.18,Polysphondylium_violaceum,violaceum,H20,2,B70,32.6,561679300,0.900266452,1,0.32465167
2.21.18,Polysphondylium_violaceum,violaceum,H20,3,B70,35.7,160203280,0.600906442,1,0.32465167
4/29/21,Polysphondylium_violaceum,violaceum,H20,4,B70,22.7,333511440,0.492160644,1,0.32465167
3.30.18,Polysphondylium_violaceum,violaceum,H20,1,B859,61,115199280,1.36988866,0,0.32465167
2.21.18,Polysphondylium_violaceum,violaceum,H20,2,B859,70,170232900,0.638526542,1,0.32465167
11.16.18,Polysphondylium_violaceum,violaceum,H20,3,B859,86.4,359332080,0.575941853,1,0.32465167
4/29/21,Polysphondylium_violaceum,violaceum,H20,4,B859,35.7,302694360,0.756575506,0,0.32465167
11.16.18,Polysphondylium_violaceum,violaceum,H20,1,KP,0.5,623903400,1,1,0.32465167
2.21.18,Polysphondylium_violaceum,violaceum,H20,2,KP,2.8,266602700,1,1,0.32465167
3.30.18,Polysphondylium_violaceum,violaceum,H20,3,KP,4,400084800,1,0,0.32465167
4/29/21,Polysphondylium_violaceum,violaceum,H20,4,KP,0.5,677647520,1,1,0.32465167
10.10.18,Polysphondylium_violaceum,violaceum,sd1,1,B11,7.3,162569920,0.524469615,1,0.32465167
11.16.18,Polysphondylium_violaceum,violaceum,sd1,2,B11,27.4,106402640,0.844451725,1,0.32465167
11.2.18,Polysphondylium_violaceum,violaceum,sd1,3,B11,32,276843300,1.44172729,1,0.32465167
10.10.18,Polysphondylium_violaceum,violaceum,sd1,1,B70,2.5,132697320,0.428097106,1,0.32465167
11.16.18,Polysphondylium_violaceum,violaceum,sd1,2,B70,20.2,96192360,0.763419068,1,0.32465167
11.2.18,Polysphondylium_violaceum,violaceum,sd1,3,B70,22.6,194704500,1.013969965,1,0.32465167
11.2.18,Polysphondylium_violaceum,violaceum,sd1,1,B859,77.3,127458800,0.663771998,1,0.32465167
11.16.18,Polysphondylium_violaceum,violaceum,sd1,2,B859,88.5,126337440,1.002661862,1,0.32465167
10.10.18,Polysphondylium_violaceum,violaceum,sd1,3,B859,88.7,42181440,0.136082269,1,0.32465167
11.2.18,Polysphondylium_violaceum,violaceum,sd1,1,KP,1,192021960,1,1,0.32465167
10.10.18,Polysphondylium_violaceum,violaceum,sd1,2,KP,1.1,309970140,1,1,0.32465167
11.16.18,Polysphondylium_violaceum,violaceum,sd1,3,KP,1.3,126002040,1,1,0.32465167
